"Ref.","Nombre","","Impuesto","Costo","Precio","Precio + Imp."
"CEPILL","Cepillo cOLGATE c/2 DURO ","","Excento de ","$23.11 ","$29.00 ","$29.00 "
"CEP AD","Cepillo de Dientes Adulto  ","","Excento de ","$8.84 ","$18.00 ","$18.00 "
"CEPILL","Cepillo de Dientes Adulto c/u","","Excento de ","$5.25 ","$10.00 ","$10.00 "
"CEP INF","Cepillo de Dientes INFANTIL ","","Excento de ","$7.10 ","$14.00 ","$14.00 "
"CEPILL ","Cepillo de Dientes JUNIOR ","","Excento de ","$4.19 ","$10.00 ","$10.00 "
"CEP VIA","Cepillo de Dientes Viajero ","","Excento de ","$10.95 ","$20.00 ","$20.00 "
"COLG ","Cepillo Dent  Colgate Estra ","","Excento de ","$19.00 ","$25.00 ","$25.00 "
"GUM ","CEPILLO DENTAL GUM ","","Excento de ","$41.70 ","$53.00 ","$53.00 "
"ORAL B ","Cepillo Dental ORAL B 2x1","","Excento de ","$30.15 ","$38.00 ","$38.00 "
"ORAL B ","Cepillo Dental ORAL B ","","Excento de ","$24.00 ","$29.00 ","$29.00 "
"ORAL 90","Cepillo Dental Oral-B Pro ","","Excento de ","$15.00 ","$30.00 ","$30.00 "
"CEPILL","Cepillo Infantil COWCO ","","Excento de ","$11.36 ","$15.00 ","$15.00 "
"CEPILL","Cepillo Oral B 5 acciones ","","Excento de ","$39.25 ","$47.00 ","$47.00 "
"ORAL B ","CEPILLO ORAL B CROSS ","","Excento de ","$38.30 ","$48.00 ","$48.00 "
"CEP ","Cepillo oral B Iniciador ","","Excento de ","$28.80 ","$35.00 ","$35.00 "
"CEPCLI","CEPOLLOS CLINI","","Excento de ","$12.88 ","$17.00 ","$17.00 "
"COLGAT","COLGATE CARBON ","","Excento de ","$30.00 ","$45.00 ","$45.00 "
"COLGAT","Colgate Carbon Activado y ","","Excento de ","$54.00 ","$90.00 ","$90.00 "
"COLGAT","COLGATE ENJUAGUE ","","Excento de ","$36.40 ","$55.00 ","$55.00 "
"COLGAT","COLGATE KIDS 50GR ","","Excento de ","$26.61 ","$34.00 ","$34.00 "
"COLGAT","Colgate Maxima Proteccion ","","Excento de ","$7.40 ","$10.00 ","$10.00 "
"COLGAT","COLGATE TOTAL 12 100ML","","Excento de ","$52.20 ","$60.00 ","$60.00 "
"COLGAT","Colgate Total 12 50ml","","Excento de ","$18.20 ","$23.00 ","$23.00 "
"COLGAT","Colgate Triple Accion c/2","","Excento de ","$30.79 ","$40.00 ","$40.00 "
"PRUD ","Condon PRUDENCE Clasico ","","Excento de ","$3.68 ","$7.00 ","$7.00 "
"COT CH","Corta Uñas Chico pharma","","Excento de ","$6.65 ","$10.00 ","$10.00 "
"COTTO","COTTONI APLICADORES ","","Excento de ","$26.60 ","$40.00 ","$40.00 "
"CONCH","CREMA  CONCHA NACAR ","","Excento de ","$56.64 ","$74.00 ","$74.00 "
"PASTA ","Crest Complete 75ml Scope","","Excento de ","$10.00 ","$15.00 ","$15.00 "
"SDESD. ","Deodorante SPEED STICK ","","Excento de ","$39.50 ","$55.00 ","$55.00 "
"DERMA","Derman CREMA C/50G","","Excento de ","$47.22 ","$64.00 ","$64.00 "
"Gel ","DES. gillette antibacterial gel ","","Excento de ","$65.40 ","$82.00 ","$82.00 "
"DES. ","Desd. Dove original 87g ","","Excento de ","$49.90 ","$65.00 ","$65.00 "
"DES. ","Desd. Dove tono uniforme  ","","Excento de ","$58.31 ","$73.00 ","$73.00 "
"OLD ","Desd. Old spice aerosol MAR ","","Excento de ","$57.60 ","$73.00 ","$73.00 "
"OLD ","DESD. OLD SPICE AFTER ","","Excento de ","$41.10 ","$50.00 ","$50.00 "
"REXON","Desd. Rexona barra HAPPY ","","Excento de ","$56.15 ","$67.00 ","$67.00 "
"OBAO ","DESOD OBAO ACTIVE ","","Excento de ","$15.60 ","$25.00 ","$25.00 "
"OBAO ","DESOD OBAO AUDAZ ","","Excento de ","$15.60 ","$25.00 ","$25.00 "
"OLD ","Desod Old Spice Fresh 48H ","","Excento de ","$25.00 ","$37.00 ","$37.00 "
"AXE ","DESOD. AXE DARK ","","Excento de ","$52.00 ","$65.00 ","$65.00 "
"OLD ","Desod. Old Sipce PURE ","","Excento de ","$62.10 ","$73.00 ","$73.00 "
"DESOD ","Desod. Old Spice LEÑA ","","Excento de ","$62.91 ","$79.00 ","$79.00 "
"OLD ","Desod. Old Spice MAR ","","Excento de ","$66.00 ","$72.00 ","$72.00 "
"REXON","Desod. Rexona Toronja-","","Excento de ","$56.15 ","$67.00 ","$67.00 "
"AXE ","Desodorante Aerosol Axe ","","Excento de ","$59.47 ","$75.00 ","$75.00 "
"BI-O ","Desodorante Barra bí-o ","","Excento de ","$32.50 ","$40.00 ","$40.00 "
"LADY ","Desodorante Barra Lady ","","Excento de ","$64.03 ","$80.00 ","$80.00 "
"LADY ","Desodorante barra Lady ","","Excento de ","$44.90 ","$55.00 ","$55.00 "
"OLD ","Desodorante old spice ","","Excento de ","$39.40 ","$55.00 ","$55.00 "
"OLD ","Desodorante OLS SPAICE ","","Excento de ","$56.97 ","$72.00 ","$72.00 "
"OLD ","Desodorante OLS SPAICE ","","Excento de ","$55.76 ","$67.00 ","$67.00 "
"SPEEDS","Desodorante spedd stick 24/7 ","","Excento de ","$38.70 ","$48.00 ","$48.00 "
"OBAO ","Desodornte OBAO Fres Int ","","Excento de ","$31.00 ","$39.00 ","$39.00 "
"OBAO ","Desodornte OBAO Miss ","","Excento de ","$15.20 ","$22.00 ","$22.00 "
"OBAO ","Desodornte OBAO Piel ","","Excento de ","$31.00 ","$39.00 ","$39.00 "
"OBAO ","Desodornte OBAO Rosa ","","Excento de ","$24.00 ","$30.00 ","$30.00 "
"OBAO ","Desodornte OBAO Suave ","","Excento de ","$31.00 ","$39.00 ","$39.00 "
"OBAO ","Desodornte OBAOFloral 65g","","Excento de ","$31.00 ","$39.00 ","$39.00 "
"DOVE ","Dove Aerosol ORQUIDEAS ","","Excento de ","$61.64 ","$75.00 ","$75.00 "
"DOVE ","Dove Aerosol ROSAS 150ml","","Excento de ","$61.64 ","$74.00 ","$74.00 "
"DOVE ","DOVE BARRA ACEITE DE ","","Excento de ","$27.70 ","$37.00 ","$37.00 "
"DOVE ","Dove Barra orquideas 50ml ","","Excento de ","$27.70 ","$37.00 ","$37.00 "
"DOVE ","DOVE GO FRESH NEURO ","","Excento de ","$23.60 ","$32.00 ","$32.00 "
"DOVE ","DOVE INVISIBLE DRY ","","Excento de ","$26.50 ","$65.00 ","$65.00 "
"DOVE ","DOVE PINK 135 GR","","Excento de ","$23.60 ","$32.00 ","$32.00 "
"ESCUD","ESCUDO GEL ","","Excento de ","$18.00 ","$28.00 ","$28.00 "
"NIEA ","Espuma de Afeitar NIVEA ","","Excento de ","$74.80 ","$92.00 ","$92.00 "
"DES-","ESTEFANO BLACK 60G","","Excento de ","$32.40 ","$41.00 ","$41.00 "
"EUCERI","Euerin Anti-Pigment CREMA ","","Excento de ","$443.39 ","$510.00 ","$510.00 "
"FLOSSE","FLOSSERS/PORTE FIL ","","Excento de ","$21.40 ","$28.00 ","$28.00 "
"FOTOSU","FOTOSUN UV 100 ","","Excento de ","$94.14 ","$155.00 ","$155.00 "
"GEL ","Gel Antibacterial c/125ml","","Excento de ","$17.00 ","$23.00 ","$23.00 "
"XTREM","Gel Xtreme 12 250g","","Excento de ","$10.50 ","$14.50 ","$14.50 "
"HEAD&S","Head & Shoulders Prot Caida ","","Excento de ","$18.75 ","$25.00 ","$25.00 "
"HERKLI","HERKLIN Shampoo ","","Excento de ","$164.30 ","$210.00 ","$210.00 "
"HIL","Hilo Dental  Pharma&pharma ","","Excento de ","$13.24 ","$28.00 ","$28.00 "
"JABON ","JABON LAMINA ","","Excento de ","$3.50 ","$10.00 ","$10.00 "
"JABON ","Jabon liquido angry birds","","Excento de ","$24.00 ","$35.00 ","$35.00 "
"JABON ","Jabon liquido antibacterial","","Excento de ","$16.70 ","$26.00 ","$26.00 "
"JABON ","Jabon liquido para manos","","Excento de ","$25.15 ","$35.00 ","$35.00 "
"JABON ","Jabon liquido sweet berry","","Excento de ","$24.00 ","$35.00 ","$35.00 "
"LOM INT","Jabon Lomecan Intimo ","","Excento de ","$24.50 ","$30.00 ","$30.00 "
"LOMEC","Jabon Lomecan Intimo ","","Excento de ","$24.50 ","$30.00 ","$30.00 "
"grissi","Jabon neutro GRISI 150f","","Excento de ","$14.90 ","$19.00 ","$19.00 "
"JAB PS","Jabon Wolderm Almendra ","","Excento de ","$48.19 ","$75.00 ","$75.00 "
"JAB PG","Jabon Wolderm Piel Grasosa ","","Excento de ","$51.76 ","$75.00 ","$75.00 "
"AXEPCI","Jbn axepcia Exfoliante 100g","","Excento de ","$22.00 ","$29.00 ","$29.00 "
"ASEPXI","Jbn Axepcia Neutro 100g","","Excento de ","$19.00 ","$27.00 ","$27.00 "
"PASTA ","Kit Portatil Infantil GUM c/3pz ","","Excento de ","$46.50 ","$58.00 ","$58.00 "
"LADY ","Lady speed Stick Aerosol ","","Excento de ","$51.20 ","$75.00 ","$75.00 "
"LADY ","Lady Speed Stick Aerosol ","","Excento de ","$60.70 ","$76.00 ","$76.00 "
"LADY ","Lady speed stick derma ","","Excento de ","$51.20 ","$65.00 ","$65.00 "
"LADY ","Lady speed stick ","","Excento de ","$46.80 ","$58.00 ","$58.00 "
"lady ","Lady speed stick POWER ","","Excento de ","$57.00 ","$69.00 ","$69.00 "
"LIST ","Listerine Anticaries 250ml","","Excento de ","$59.70 ","$75.00 ","$75.00 "
"LISTERI","Listerine PRO-ENCÍAS ","","Excento de ","$59.70 ","$85.00 ","$85.00 "
"LISTERI","Listerine UltraClean ","","Excento de ","$102.19 ","$128.00 ","$128.00 "
"LOMEC","Lomecan ESOS DIAS ","","Excento de ","$77.86 ","$97.00 ","$97.00 "
"LOMEC","Lomecan shampoo PIEL ","","Excento de ","$77.85 ","$97.00 ","$97.00 "
"SPRAY ","LOTRIMIN ACTIVE ","","Excento de ","$69.31 ","$87.00 ","$87.00 "
"LOTRIM","Lotrimin AF Aerosol","","Excento de ","$82.50 ","$108.00 ","$108.00 "
"COT 100","Multiaplicadores Tip-tops ","","Excento de ","$8.00 ","$16.00 ","$16.00 "
"MULT","Multiaplicadores Tip-tops c/50 ","","Excento de ","$2.80 ","$7.00 ","$7.00 "
"COT 200","Multiaplicadores ZUUM c/200","","Excento de ","$8.97 ","$23.00 ","$23.00 "
"NIV MN","Nive Milj Nutritiva 125ml PIel ","","Excento de ","$18.20 ","$25.00 ","$25.00 "
"NIV SK","Nive Sun Kidas PFS50+ ","","Excento de ","$92.50 ","$116.00 ","$116.00 "
"NIVEA ","NIVEA BLACK WHITE ","","Excento de ","$62.50 ","$78.00 ","$78.00 "
"NIV TA","Nivea Creme Tarro 200ml","","Excento de ","$84.11 ","$97.00 ","$97.00 "
"NIVEA ","NIVEA INVISIBLE AEROSOL ","","Excento de ","$62.50 ","$78.00 ","$78.00 "
"NIV PS ","Nivea Proteccion Solar Adulto ","","Excento de ","$41.85 ","$58.00 ","$58.00 "
"NIVEA ","Nivea Roll-on Aclarado Nat ","","Excento de ","$19.00 ","$25.00 ","$25.00 "
"NIVEA ","Nivea Roll-on Aclarado Nat ","","Excento de ","$19.00 ","$25.00 ","$25.00 "
"NIVEA ","Nivea Soft Milk CREMA ","","Excento de ","$38.57 ","$50.00 ","$50.00 "
"NIVEA ","Nivea Soft Milk CREMA 5en1 ","","Excento de ","$25.34 ","$31.00 ","$31.00 "
"NIV SM","Nivea Soft Milk PIEL SECA ","","Excento de ","$18.20 ","$25.00 ","$25.00 "
"OLD ","Old spice FRESH c/50g","","Excento de ","$47.30 ","$63.00 ","$63.00 "
"OLD ","OLD SPICE MAR ","","Excento de ","$58.67 ","$73.00 ","$73.00 "
"OLD ","OLD SPICE WOLFTHORN ","","Excento de ","$52.82 ","$66.00 ","$66.00 "
"ORAL B ","ORAL B KIDS MICKEY 50GR ","","Excento de ","$25.00 ","$35.00 ","$35.00 "
"ORAL B ","ORAL B KIDS PRINCESS ","","Excento de ","$25.00 ","$35.00 ","$35.00 "
"ORAL B ","ORAL B KIDS SPIDERMAN ","","Excento de ","$25.00 ","$35.00 ","$35.00 "
"ORAL B ","ORL B KIDS MINNIE 50GR ","","Excento de ","$25.00 ","$33.00 ","$33.00 "
"PAÑ","Pañuelos Desechables ","","Excento de ","$2.54 ","$5.00 ","$5.00 "
"PAROD","Parodontax Original PASTA ","","Excento de ","$82.29 ","$120.00 ","$120.00 "
"COLGAT","PASTA COLGATE 90G 68ML","","Excento de ","$34.00 ","$55.00 ","$55.00 "
"COLG ","Pasta Dental Colgate Max ","","Excento de ","$34.30 ","$43.00 ","$43.00 "
"PAST ","Pasta Dental Oral-B ","","Excento de ","$12.50 ","$18.00 ","$18.00 "
"GUM ","PASTA GUM INFANTIL 3+ ","","Excento de ","$14.00 ","$25.00 ","$25.00 "
"PASTA ","Pasta Oral B KIDS 75ml/100g ","","Excento de ","$45.00 ","$60.00 ","$60.00 "
"BENZAL","Polvo-12  Cuidado Intimo ","","Excento de ","$59.50 ","$80.00 ","$80.00 "
"PONDS","Ponds Clarant B3 50 g","","Excento de ","$45.49 ","$57.00 ","$57.00 "
"PONDS ","Pond´s CREMA Anti-","","Excento de ","$72.33 ","$90.00 ","$90.00 "
"PROTE","Protector Solar Eucerin ","","Excento de ","$570.52 ","$685.00 ","$685.00 "
"REXON","Rexona Aerosol ANARCHY ","","Excento de ","$44.40 ","$62.00 ","$62.00 "
"REXON","Rexona Aerosol ","","Excento de ","$62.20 ","$72.00 ","$72.00 "
"REXON","Rexona Aerosol TONO ","","Excento de ","$44.40 ","$65.00 ","$65.00 "
"REXON","Rexona Barra HAPPY ","","Excento de ","$26.40 ","$35.00 ","$35.00 "
"REXON","Rexona Barra SEXY ","","Excento de ","$26.40 ","$35.00 ","$35.00 "
"REXON","Rexona clinical CREMA 3× ","","Excento de ","$55.50 ","$75.00 ","$75.00 "
"REXON","REXONA MEN STAY FRESH ","","Excento de ","$50.90 ","$62.00 ","$62.00 "
"REXON","Rexona Men XTRACOOL ","","Excento de ","$62.00 ","$75.00 ","$75.00 "
"DESDO ","Rexona STAY FRESH ","","Excento de ","$35.00 ","$55.00 ","$55.00 "
"REXON","Rexona Talco Efficient 100g","","Excento de ","$35.56 ","$55.00 ","$55.00 "
"REXON","Rexona Talco Efficient 200g","","Excento de ","$62.00 ","$78.00 ","$78.00 "
"SABA ","Saba ultrainvisible c/12","","Excento de ","$28.90 ","$36.00 ","$36.00 "
"SHAMP","Shampoo Anti-Frizz Herbal-","","Excento de ","$71.42 ","$90.00 ","$90.00 "
"INTIM IN","Shampoo Intima Inhibidor de ","","Excento de ","$46.34 ","$65.00 ","$65.00 "
"INT","Shampoo Intima Uso Diario ","","Excento de ","$46.34 ","$65.00 ","$65.00 "
"INTIM ","Shampoo Intimo INTIM FEM ","","Excento de ","$58.74 ","$75.00 ","$75.00 "
"LOMEC","Shampoo lomecan Intimo ","","Excento de ","$77.86 ","$97.00 ","$97.00 "
"LOMEC","Shampoo lomecan Intimo ","","Excento de ","$69.21 ","$86.00 ","$86.00 "
"Lomecan ","Shampoo lomecan Intimo ","","Excento de ","$55.45 ","$74.00 ","$74.00 "
"SILICA ","SILICA UVA 120ML 4 EN 1","","Excento de ","$39.90 ","$48.00 ","$48.00 "
"SILVER ","Silver active Anti-transpirante ","","Excento de ","$64.00 ","$79.00 ","$79.00 "
"SPEED ","SPEED STICK xtreme night ","","Excento de ","$39.50 ","$55.00 ","$55.00 "
"STEFAN","Stefano Aerosol GLADIUS ","","Excento de ","$78.32 ","$98.00 ","$98.00 "
"TALCO ","TALCO REXONA efficient ","","Excento de ","$25.70 ","$33.00 ","$33.00 "
"TAMPO","Tampones super plus","","Excento de ","$33.58 ","$45.00 ","$45.00 "
"TING ","TING AEROSOL 150G ","","Excento de ","$141.00 ","$175.00 ","$175.00 "
"TING ","TING AEROSOL 2.4","","Excento de ","$104.40 ","$130.00 ","$130.00 "
"SABA ","TOALLAS SABA BUENAS ","","Excento de ","$29.41 ","$50.00 ","$50.00 "
"SABE ","TOALLAS SABA C/8","","Excento de ","$26.42 ","$35.00 ","$35.00 "
"SABA ","TOALLAS SABA ","","Excento de ","$25.80 ","$35.00 ","$35.00 "
"TOA ","Toallitas Humedas Femenina","","Excento de ","$7.82 ","$11.00 ","$11.00 "
"TOA LIM","Toallitas Limpieza profunda","","Excento de ","$7.82 ","$11.00 ","$11.00 "
"VANART ","Vanart Clasico Shampoo ","","Excento de ","$19.70 ","$26.00 ","$26.00 "
"VANART ","Vanart Duo Shampoo 750ml","","Excento de ","$19.70 ","$26.00 ","$26.00 "
"VANART ","Vanart lasixo Enjuague 750ml","","Excento de ","$19.70 ","$26.00 ","$26.00 "
"VANART ","Vanart Reconstruccion ","","Excento de ","$19.70 ","$26.00 ","$26.00 "
"CIRUEL","CIRUELAX FORTE 25mg ","","Excento de ","$128.02 ","$162.00 ","$162.00 "
"MOTILA","Picosulfato de Sodio 5mg/5ml ","","Excento de ","$26.10 ","$47.00 ","$47.00 "
"ANARA ","Picosulfato de sodio ","","Excento de ","$90.84 ","$125.00 ","$125.00 "
"FIBR N","Plantago Psyllium  c/250g ","","Excento de ","$84.19 ","$160.00 ","$160.00 "
"NOVAG","Psyllium Plantago  Polvo ","","Excento de ","$102.30 ","$219.00 ","$219.00 "
"FINA","Psyllium Plantago c/200g","","Excento de ","$40.24 ","$70.00 ","$70.00 "
"PUNZO#","PUNZOCAT#21 X 3/4""","","Excento de ","$9.00 ","$18.00 ","$18.00 "
"SENOSI","SENOSIDO AB TABLETAS ","","Excento de ","$10.86 ","$30.00 ","$30.00 "
"AGUA "," Agua Oxigenada ","Excento de ","$10.50 ","$20.00 ","$20.00 ","$20.00 "
"ABATE ","ABATELENGUAS SENSI ","Excento de ","$18.11 ","$22.00 ","$22.00 ","$22.00 "
"AGUAO","Agua Oxigenada 110ml","","Excento de ","$6.03 ","$7.50 ","$7.50 "
"Agua ","Agua Oxigenada 110ml  ","","Excento de ","$9.10 ","$15.00 ","$15.00 "
"AGUA ","AGUA OXIGENADA 110ML ","","Excento de ","$9.10 ","$15.00 ","$15.00 "
"AGU ","Agua Oxigenada 112ml","","Excento de ","$8.00 ","$10.00 ","$10.00 "
"AGUA ","AGUA OXIGENADA 125ML ","","Excento de ","$5.63 ","$10.00 ","$10.00 "
"AGUAO","Agua Oxigenada 220ml Lasa","","Excento de ","$7.33 ","$13.00 ","$13.00 "
"AGUA ","Agua Oxigenada 250ml ","","Excento de ","$17.58 ","$35.00 ","$35.00 "
"AGUAO","Agua Oxigenada 480 ml","","Excento de ","$10.78 ","$19.00 ","$19.00 "
"AGUA ","Agua Oxigenada 480 ml ","","Excento de ","$13.35 ","$21.00 ","$21.00 "
"AGUA ","Agua Oxigenada 480 ml ","","Excento de ","$12.90 ","$26.00 ","$26.00 "
"AGUA ","AGUA OXIGENADA 500ML ","","Excento de ","$13.19 ","$32.00 ","$32.00 "
"AGUA ","Agua oxigenada 55ml ","","Excento de ","$5.74 ","$10.00 ","$10.00 "
"AGUA ","Agua oxigenada 60ml ","","Excento de ","$4.20 ","$12.00 ","$12.00 "
"AGUA ","Agua Oxigenada c/224 ml","","Excento de ","$12.14 ","$15.00 ","$15.00 "
"AGUA ","Agua Oxigenada Dermocleen ","","Excento de ","$7.73 ","$12.00 ","$12.00 "
"AGUA ","Agua Oxigenada RAB 225ml","","Excento de ","$7.50 ","$14.00 ","$14.00 "
"AGUA ","Agua Oxigenada RAB 460ml","","Excento de ","$20.80 ","$27.00 ","$27.00 "
"AGUA ","Agua Oxigenada RAB 60ml","","Excento de ","$3.50 ","$5.00 ","$5.00 "
"AGUA ","Agua Oxigenanada RAB ","","Excento de ","$4.90 ","$8.00 ","$8.00 "
"ALCOH","ALCOHOL  1000ML LUMAN","","Excento de ","$40.80 ","$75.00 ","$75.00 "
"ALCOH","Alcohol 125ML DIBAR","","Excento de ","$4.41 ","$9.00 ","$9.00 "
"ALCOH","ALCOHOL 125ML LUMAN","","Excento de ","$6.67 ","$13.00 ","$13.00 "
"ALCOH","ALCOHOL 1L ","","Excento de ","$50.28 ","$90.00 ","$90.00 "
"ALCOH","ALCOHOL 250MG 70° CH","","Excento de ","$18.94 ","$27.00 ","$27.00 "
"ALCO ","ALCOHOL 500ML LUNA","","Excento de ","$26.20 ","$40.00 ","$40.00 "
"ALCOH","Alcohol 70% 1L Jaloma","","Excento de ","$31.84 ","$47.00 ","$47.00 "
"ALCO ","Alcohol Azul  500ml PROTEC","","Excento de ","$30.00 ","$38.00 ","$38.00 "
"ALC 110","Alcohol Azul  PROTEC ","","Excento de ","$7.30 ","$10.00 ","$10.00 "
"ALCOH","ALCOHOL AZUL 1000ML ","","Excento de ","$37.20 ","$75.00 ","$75.00 "
"ALCOH","Alcohol Azul 130ml ","","Excento de ","$8.16 ","$12.00 ","$12.00 "
"ALC 1L","Alcohol Azul 1LT PROTEC","","Excento de ","$74.00 ","$90.00 ","$90.00 "
"ALC ","Alcohol azul 200ml PROTEC","","Excento de ","$17.90 ","$27.00 ","$27.00 "
"ALCOH","Alcohol Azul 250ml ","","Excento de ","$13.41 ","$25.00 ","$25.00 "
"ALCO ","ALCOHOL AZUL 250ML ","","Excento de ","$14.03 ","$25.00 ","$25.00 "
"ALC JAL ","Alcohol Azul Jaloma 120ml","","Excento de ","$11.42 ","$16.00 ","$16.00 "
"ALC JAL ","Alcohol Azul Jaloma 1L","","Excento de ","$29.78 ","$42.00 ","$42.00 "
"ALC JAL","Alcohol Azul JALOMA 240ml ","","Excento de ","$13.80 ","$20.00 ","$20.00 "
"ALC JAL ","Alcohol Azul Jaloma 480ml","","Excento de ","$24.19 ","$45.00 ","$45.00 "
"ALC AZ ","ALCOHOL AZUL LOURDES ","","Excento de ","$6.00 ","$10.00 ","$10.00 "
"ALCH ","Alcohol Desnaturalizado ","","Excento de ","$7.76 ","$12.00 ","$12.00 "
"ALCOH ","Alcohol Desnaturalizado ","","Excento de ","$29.85 ","$38.00 ","$38.00 "
"ALCOH","Alcohol Desnaturalizado 70 ","","Excento de ","$31.28 ","$65.00 ","$65.00 "
"ALCOH","Alcohol Desnaturalizado ","","Excento de ","$55.00 ","$85.00 ","$85.00 "
"ALCOH","Alcohol DIBAR 1L","","Excento de ","$38.20 ","$80.00 ","$80.00 "
"DIBAR ","Alcohol DIBAR 500ml","","Excento de ","$23.40 ","$50.00 ","$50.00 "
"ALCOH","ALCOHOL ETILICO 1000ML ","","Excento de ","$57.42 ","$90.00 ","$90.00 "
"ALCOH","Alcohol Etilico 500ml CHG","","Excento de ","$22.30 ","$50.00 ","$50.00 "
"ALCOH","ALCOHOL ETILICO 70 ","","Excento de ","$9.81 ","$13.00 ","$13.00 "
"ALCOG","ALCOHOL ETILICO 70 ","","Excento de ","$17.02 ","$22.00 ","$22.00 "
"ALCOH","ALCOHOL LUMAN 250ML","","Excento de ","$14.28 ","$25.00 ","$25.00 "
"ALCOH","ALCOHOL LUMAN 500ML","","Excento de ","$21.48 ","$45.00 ","$45.00 "
"ALCOH","Alcohol luman rojo 250ml","","Excento de ","$13.55 ","$26.00 ","$26.00 "
"ALC ","ALCOHOL LUNA 125ML ","","Excento de ","$4.00 ","$10.00 ","$10.00 "
"ALCOH","ALCOHOL ROJO 11L ","","Excento de ","$46.57 ","$75.00 ","$75.00 "
"ALCOH","Alcohol Rojo 1L ","","Excento de ","$44.84 ","$70.00 ","$70.00 "
"ALCOH","ALCOHOL ROJO 500ML","","Excento de ","$25.28 ","$38.00 ","$38.00 "
"ALCOH","Alcohol Rojo 500ml ","","Excento de ","$25.64 ","$38.00 ","$38.00 "
"ALC ","ALCOHOL ROJO LOURDES ","","Excento de ","$9.50 ","$14.00 ","$14.00 "
"ALCOH","Alcohol rojo luman","","Excento de ","$7.28 ","$18.00 ","$18.00 "
"ALG ","Algodon 100gr Quirmex ","","Excento de ","$18.57 ","$30.00 ","$30.00 "
"ALG 25 ","Algodon 25g Quirmex","","Excento de ","$8.00 ","$17.00 ","$17.00 "
"ALG ","Algodon 50g Quirmex","","Excento de ","$15.99 ","$23.00 ","$23.00 "
"DIBAR ","Algodon Dibar 100g","","Excento de ","$10.20 ","$25.00 ","$25.00 "
"DIBAR ","Algodon Dibar 200mg ","","Excento de ","$25.10 ","$38.00 ","$38.00 "
"DIBAR ","Algodon Dibar 25g","","Excento de ","$4.10 ","$9.00 ","$9.00 "
"DIBAR ","Algodon Dibar 50g","","Excento de ","$5.50 ","$14.00 ","$14.00 "
"ALG 3G","Algodon Torunda 3g","","Excento de ","$0.50 ","$2.00 ","$2.00 "
"ANTIBE","ANTIBENZIL 500ML","","Excento de ","$37.00 ","$56.00 ","$56.00 "
"SKINPR","Banditas Adhesivas Clasicas ","","Excento de ","$0.43 ","$1.50 ","$1.50 "
"CABEST","Cabestrillo ADULTO la Roy ","","Excento de ","$122.00 ","$150.00 ","$150.00 "
"CABEST","Cabestrillo Anatomico ","","Excento de ","$56.89 ","$110.00 ","$110.00 "
"CABEST","Cabestrillo CHICO INFANTIL ","","Excento de ","$54.71 ","$78.00 ","$78.00 "
"CABES ","CABESTRILLO CHICO SAN ","","Excento de ","$58.00 ","$95.00 ","$95.00 "
"CABEST","Cabestrillo encillo Adulto ","","Excento de ","$59.90 ","$75.00 ","$75.00 "
"CABES","CABESTRILLO MEDIANO","","Excento de ","$56.71 ","$85.00 ","$85.00 "
"CABES ","CABESTRILLO MEDIANO ","","Excento de ","$58.00 ","$100.00 ","$100.00 "
"CAMPO ","Campos Quirurgicos ","","Excento de ","$16.00 ","$40.00 ","$40.00 "
"CATETE","CATETER P/VENOCLISIS ","","Excento de ","$10.93 ","$20.00 ","$20.00 "
"CINTA ","Cinta Adhesiva Blanca p/piel ","","Excento de ","$18.98 ","$27.00 ","$27.00 "
"PROTE","CINTA ADHESIVA ","","Excento de ","$14.58 ","$21.00 ","$21.00 "
"CINT ","Cinta Adhesiva microporosa ","","Excento de ","$6.93 ","$13.00 ","$13.00 "
"CINT ","Cinta Adhesiva Microporosa ","","Excento de ","$12.18 ","$21.00 ","$21.00 "
"CINTA ","Cinta Adhesiva microporosa ","","Excento de ","$8.12 ","$15.00 ","$15.00 "
"CINTA ","Cinta Adhesiva p/piel color ","","Excento de ","$18.98 ","$27.00 ","$27.00 "
"CINTA ","Cinta Adhesiva Plastica Mic ","","Excento de ","$10.74 ","$19.00 ","$19.00 "
"PROTE","CINTA ADHESIVA ","","Excento de ","$16.02 ","$23.00 ","$23.00 "
"CINT ","Cinta Adhesiva Transparente ","","Excento de ","$13.22 ","$26.00 ","$26.00 "
"SKIN ","CINTA MICROPOOSA ","","Excento de ","$15.50 ","$26.00 ","$26.00 "
"CINTA ","Cinta Micropore  blanco","","Excento de ","$10.34 ","$15.00 ","$15.00 "
"MICR","Cinta Micropore 2.5cmx9.1 m","","Excento de ","$20.00 ","$30.00 ","$30.00 "
"CINTA ","Cinta micropore piel","","Excento de ","$29.00 ","$39.00 ","$39.00 "
"COLLAR","Collarin Cervical GRANDE ","","Excento de ","$54.40 ","$80.00 ","$80.00 "
"SUMITE","Collarin Cervical MEDIANO","","Excento de ","$126.94 ","$180.00 ","$180.00 "
"COLLAR","COLLARIN CERVICAL ","","Excento de ","$51.75 ","$110.00 ","$110.00 "
"CUBRE ","CUBRE BOCAS INFANTIL ","","Excento de ","$2.60 ","$4.00 ","$4.00 "
"CUBRE ","Cubre bocas Sencillo","","Excento de ","$2.32 ","$4.00 ","$4.00 "
"CUBRE","CUBREBOCA INFANTIL ","","Excento de ","$4.00 ","$4.00 ","$4.00 "
