"Ref.","Nombre","","Impuesto","Costo","Precio","Precio + Imp."
"IBU 800 ","IBUPROFENO 800MG ","","Excento de ","$21.67 ","$38.00 ","$38.00 "
"EUFENI","Ibuprofeno CÁPSULAS ","","Excento de ","$17.55 ","$38.00 ","$38.00 "
"ALGIDO","Ibuprofeno capsulas 200mg ","","Excento de ","$10.00 ","$20.00 ","$20.00 "
"ALGIDO","Ibuprofeno CAPSULAS ","","Excento de ","$14.56 ","$38.00 ","$38.00 "
"AFLU","Ibuprofeno Sus. 2gr/100ml ","","Excento de ","$19.18 ","$39.00 ","$39.00 "
"FIDOIN","Ibuprofeno Susp. Pediatrica ","","Excento de ","$41.09 ","$87.00 ","$87.00 "
"DOLP S","Ibuprofeno Suspension ","","Excento de ","$25.56 ","$70.00 ","$70.00 "
"ADVIL ","Ibuprofeno TABLETAS ","","Excento de ","$40.29 ","$50.00 ","$50.00 "
"DOLPR ","Ibuprofeno TABLETAS ","","Excento de ","$18.00 ","$40.00 ","$40.00 "
"DOLVEE","Ibuprofeno TABLETAS ","","Excento de ","$13.59 ","$30.00 ","$30.00 "
"IBUPRO","Ibuprofeno-Cafeina ","","Excento de ","$30.00 ","$65.00 ","$65.00 "
"IB-CAF","Ibuprofeno/Cafeina ","","Excento de ","$24.25 ","$50.00 ","$50.00 "
"INDARZ","Indometacina/Dexametasona ","","Excento de ","$63.00 ","$135.00 ","$135.00 "
"ARHTRI","Ketoprofeno CÁPSULAS ","","Excento de ","$36.25 ","$70.00 ","$70.00 "
"VOY","Ketorolaco 10 mg c/10 tab","","Excento de ","$5.90 ","$15.00 ","$15.00 "
"MAV SL","KETOROLACO 30 MG ","","Excento de ","$12.00 ","$34.00 ","$34.00 "
"LOR F","Ketorolaco 30mg  sublingual ","","Excento de ","$17.45 ","$34.00 ","$34.00 "
"LOR F6","Ketorolaco 30mg Sublingual ","","Excento de ","$13.64 ","$30.00 ","$30.00 "
"KT-","KETOROLACO GEL 2% ","","Excento de ","$54.41 ","$117.00 ","$117.00 "
